Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Customer Type,latitude,longitude
23,Female,Single,Student,No Income,Graduate,1,New,12.977,77.5773
25,Male,Single,Self Employeed,More than 50000,Graduate,2,Regular,12.9783,77.6408
29,Female,Married,Employee,25001 to 50000,Graduate,4,Frequent,12.9783,77.6408
27,Male,Married,Self Employeed,25001 to 50000,Graduate,6,Frequent,12.9217,77.5936
25,Male,Single,Self Employeed,10001 to 25000,Graduate,3,Regular,13.0206,77.6479
21,Male,Single,Student,No Income,Graduate,2,Regular,13.0012,77.5995
24,Male,Single,Student,No Income,Post Graduate,2,Regular,12.9706,77.6529
26,Female,Married,Self Employeed,10001 to 25000,Graduate,5,Frequent,12.9706,77.6529
32,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,12.9706,77.6529
29,Male,Single,Self Employeed,More than 50000,Graduate,6,Frequent,12.8845,77.6036
21,Male,Single,Student,No Income,Graduate,5,Frequent,12.9783,77.6408
24,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,Regular,13.0103,77.5796
26,Male,Prefer not to say,Self Employeed,More than 50000,Post Graduate,2,Regular,13.0103,77.5796
31,Male,Married,Employee,More than 50000,Ph.D,3,Regular,12.9306,77.5434
29,Male,Single,Employee,25001 to 50000,Graduate,3,Regular,13.0641,77.5931
22,Male,Single,Student,No Income,Graduate,3,Regular,13.0158,77.539
24,Male,Single,Student,No Income,Graduate,2,Regular,12.9561,77.5921
27,Male,Married,Employee,25001 to 50000,Graduate,2,Regular,12.8845,77.6036
23,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9369,77.6407
30,Male,Married,Employee,More than 50000,Post Graduate,6,Frequent,12.9369,77.6407
22,Female,Single,Student,No Income,Graduate,2,Regular,12.9369,77.6407
28,Male,Married,Employee,25001 to 50000,Graduate,3,Regular,12.9369,77.6407
23,Female,Single,Student,No Income,Post Graduate,2,Regular,13.0158,77.539
30,Male,Married,Self Employeed,More than 50000,Graduate,1,New,13.0809,77.5565
21,Male,Single,Student,No Income,Graduate,3,Regular,13.0641,77.5931
26,Female,Married,Employee,Below Rs.10000,Graduate,6,Frequent,12.9859,77.6713
25,Male,Single,Self Employeed,More than 50000,School,3,Regular,12.9859,77.6713
31,Male,Prefer not to say,Employee,Below Rs.10000,Graduate,1,New,12.9866,77.4904
23,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,12.9847,77.5491
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,12.985,77.5533
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,12.9299,77.6848
22,Male,Single,Student,No Income,Graduate,3,Regular,12.977,77.5773
24,Female,Single,Student,No Income,Post Graduate,3,Regular,12.9828,77.6131
23,Female,Single,Student,No Income,Post Graduate,2,Regular,12.9766,77.5993
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,12.9854,77.7081
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,12.985,77.5533
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,12.977,77.5773
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,12.8988,77.5764
